Isbn,Title,Author_Id,Subject_area,Description,Category,Is_lendable,Language,Binding,Edition,Lib_code,Publisher_id
9568755624,The Great Fire of London,15,Nature,"You’ll want to capture the reader’s attention right away, so it’s good to start with something that piques their interest",Novel,1,english,Hardcover,Fifth,1,102598635
5746982554,White Nights,15,Nature,"This will be the person your reader will root for throughout the book, so you’ll want to set them up as likable and/or incredibly interesting right from the start.",Novel,1,english,Hardcover,Sixth,1,102598635
1254789654,In a Glass Darkly,1,Parenting & Family,"This needs to be the character everyone loves to hate. Mostly you want to position them as a threat, and talk about how bad things will be if they get their way.",Reference,0,english,Hardcover,Seventh,1,102598635
1458789652,"Rejection, The Ruling Spirit",2,Pets,"This is the object of everyone’s lust, desire, obsession, passion, and overpowering need. It’s the One Ring.",Educational,1,english,Hardcover,First,1,145789662
2547896542,Little Dorrit,3,Philosophy,You’ll tell the reader exactly what’s at stake if the Antagonist gets their way.,Novel,1,hindi,Hardcover,Second,1,145789662
3354698745,The Four-Fifteen Express,4,Psychology,"Everyone likes to be part of the in-crowd. So you’ll spend a smidge of time relaying what other people think of your work in general, what awards you may have won, or readers and/or reviewers are already saying about this book in particular.",Novel,1,spanish,Hardcover,Third,1,102598635
1254854547,Ten Tales from the Decameron,8,Fiction,"And finally, you’ll tell the reader what to do (nicely). Think of the reader as sitting there, dumbfounded, having just read a book description that blows their mind.",Rare,0,english,Hardcover,Fifth,1,102598635
8785696445,Fairy Prince and Other Stories,20,Computer Science,"This is the object of everyone’s lust, desire, obsession, passion, and overpowering need. It’s the One Ring.",Educational,1,english,Hardcover,Fourth,1,102598635
1619649059,A Daughter of the Snows,7,Self-Help & Relationships,You’ll tell the reader exactly what’s at stake if the Antagonist gets their way.,Novel,1,english,Saddle,First,1,102598635
1658649059,Python,20,Computer Science,"Everyone likes to be part of the in-crowd. So you’ll spend a smidge of time relaying what other people think of your work in general, what awards you may have won, or readers and/or reviewers are already saying about this book in particular.",Novel,1,english-UK,Hardcover,First,1,145789662
